,FareBucket,Amount,Percentage
0,0,5,0.0018031013342949874
1,1,0,0.0
2,2,46,0.016588532275513886
3,3,19,0.006851785070320952
4,4,31,0.011179228272628922
5,5,67,0.02416155787955283
6,6,122,0.04399567255679769
7,7,170,0.06130544536602957
8,8,137,0.04940497655968266
9,9,114,0.04111071042192571
10,10,112,0.04038946988820772
11,11,82,0.029570861882437793
12,12,92,0.03317706455102777
13,13,83,0.02993148214929679
14,14,71,0.02560403894698882
15,15,63,0.02271907681211684
16,16,55,0.01983411467724486
17,17,54,0.019473494410385865
18,18,57,0.020555355210962856
19,19,45,0.016227912008654886
20,20,47,0.01694915254237288
21,21,40,0.0144248106743599
22,22,32,0.01153984853948792
23,23,42,0.015146051208077894
24,24,29,0.010457987738910927
25,25,37,0.013342949873782907
26,26,34,0.012261089073205915
27,27,35,0.012621709340064912
28,28,40,0.0144248106743599
29,29,37,0.013342949873782907
30,30,47,0.01694915254237288
31,31,37,0.013342949873782907
32,32,38,0.013703570140641904
33,33,31,0.011179228272628922
34,34,37,0.013342949873782907
35,35,37,0.013342949873782907
36,36,38,0.013703570140641904
37,37,37,0.013342949873782907
38,38,40,0.0144248106743599
39,39,45,0.016227912008654886
40,40,41,0.014785430941218897
41,41,34,0.012261089073205915
42,42,32,0.01153984853948792
43,43,44,0.015867291741795887
44,44,46,0.016588532275513886
45,45,32,0.01153984853948792
46,46,35,0.012621709340064912
47,47,37,0.013342949873782907
48,48,26,0.009376126938333935
49,49,30,0.010818608005769925
50,50,32,0.01153984853948792
51,51,24,0.00865488640461594
52,52,22,0.007933645870897944
53,53,12,0.00432744320230797
54,54,11,0.003966822935448972
55,55,11,0.003966822935448972
56,56,11,0.003966822935448972
57,57,11,0.003966822935448972
58,58,5,0.0018031013342949874
59,59,6,0.002163721601153985
60,60,8,0.00288496213487198
61,61,6,0.002163721601153985
62,62,9,0.0032455824017309774
63,63,6,0.002163721601153985
64,64,4,0.00144248106743599
65,65,3,0.0010818608005769925
66,66,2,0.000721240533717995
67,67,3,0.0010818608005769925
68,68,3,0.0010818608005769925
69,69,3,0.0010818608005769925
70,70,3,0.0010818608005769925
71,71,2,0.000721240533717995
72,72,2,0.000721240533717995
73,73,0,0.0
74,74,2,0.000721240533717995
75,75,2,0.000721240533717995
76,76,4,0.00144248106743599
77,77,0,0.0
78,78,0,0.0
79,79,1,0.0003606202668589975
80,80,2,0.000721240533717995
81,81,2,0.000721240533717995
82,82,1,0.0003606202668589975
83,83,1,0.0003606202668589975
84,84,2,0.000721240533717995
85,85,0,0.0
86,86,0,0.0
87,87,0,0.0
88,88,0,0.0
89,89,1,0.0003606202668589975
90,90,0,0.0
91,91,1,0.0003606202668589975
