,FareBucket,Amount,Percentage
0,0,1236,0.00014918239358081197
1,1,71,8.569538789836286e-06
2,2,42034,0.0050734083590419496
3,3,171883,0.02074588782835817
4,4,595510,0.07187670485542826
5,5,866724,0.10461161884622626
6,6,889230,0.10732804194487493
7,7,815093,0.09837987437780321
8,8,716204,0.08644419661177334
9,9,608288,0.07341898044213992
10,10,507648,0.061271960951870576
11,11,414362,0.05001255256386117
12,12,338268,0.04082817954028649
13,13,275117,0.033205997228780135
14,14,225102,0.027169300291122925
15,15,193005,0.02329526526946975
16,16,157486,0.019008202617692357
17,17,132314,0.015969999372371806
18,18,113339,0.013679759956355701
19,19,98199,0.01185239633272019
20,20,87230,0.0105284629385552
21,21,74224,0.008958668269532514
22,22,66030,0.007969671074547746
23,23,58813,0.007098595561220302
24,24,53366,0.006441155028991594
25,25,49320,0.00595281201570036
26,26,44800,0.005407258278657262
27,27,41739,0.0050378025288588275
28,28,39131,0.004723022850494136
29,29,36639,0.004422244108743826
30,30,34948,0.004218144248270402
31,31,32145,0.0038798285126660195
32,32,29535,0.0035648074388424603
33,33,27095,0.0032703049790227348
34,34,24118,0.0029109878384967823
35,35,22304,0.0026920421573029367
36,36,19368,0.0023376736236837914
37,37,17349,0.0020939849079559115
38,38,15926,0.0019222320389708828
39,39,14030,0.0016933891439634237
40,40,13794,0.0016649044798169256
41,41,12017,0.0014504246146121499
42,42,11116,0.0013416759603918332
43,43,10470,0.0012637052271772663
44,44,9300,0.001122488883739119
45,45,8841,0.001067088625928769
46,46,7054,0.0008514017834296501
47,47,6329,0.0007638959295897726
48,48,5784,0.0006981156670480715
49,49,5156,0.0006223174929633223
50,50,6051,0.0007303419608070333
51,51,4543,0.000548329784820088
52,52,170906,0.020627966146700847
53,53,3974,0.0004796527767719634
54,54,3792,0.0004576857900149182
55,55,3692,0.0004456160170714868
56,56,2968,0.0003582308609610436
57,57,2694,0.0003251596830960416
58,58,3018,0.0003642657474327593
59,59,2996,0.0003616103973852044
60,60,3397,0.00041001018688836425
61,61,1975,0.00023837801563276993
62,62,2204,0.0002660177956732278
63,63,2689,0.00032455619444887
64,64,1973,0.00023813662017390129
65,65,2868,0.00034616108801761224
66,66,1674,0.00020204799907304143
67,67,1650,0.0001991512535666179
68,68,1861,0.00022461847447725813
69,69,1694,0.0002044619536617277
70,70,1955,0.00023596406104408363
71,71,1239,0.0001495444867691149
72,72,1145,0.0001381989002022894
73,73,958,0.00011562842479807269
74,74,794,9.583399717084522e-05
75,75,1117,0.0001348193637781286
76,76,649,7.833282640286971e-05
77,77,529,6.384909887075204e-05
78,78,463,5.588304872808733e-05
79,79,432,5.2141419115623596e-05
80,80,816,9.848934721840012e-05
81,81,301,3.6330016559728475e-05
82,82,283,3.415745742991083e-05
83,83,242,2.920885052310396e-05
84,84,240,2.896745506423533e-05
85,85,448,5.407258278657262e-05
86,86,210,2.5346523181205916e-05
87,87,184,2.2208382215913753e-05
88,88,203,2.4501639075165717e-05
89,89,176,2.1242800380439244e-05
90,90,442,5.334839640996673e-05
91,91,128,1.5449309367592176e-05
92,92,145,1.7501170767975512e-05
93,93,111,1.339744796720884e-05
94,94,125,1.5087216179289235e-05
95,95,277,3.343327105330495e-05
96,96,155,1.8708148062318653e-05
97,97,92,1.1104191107956877e-05
98,98,103,1.243186613173433e-05
99,99,87,1.0500702460785308e-05
100,100,629,7.591887181418343e-05
101,101,70,8.448841060401972e-06
102,102,93,1.122488883739119e-05
103,103,66,7.966050142664715e-06
104,104,57,6.8797705777558914e-06
105,105,112,1.3518145696643155e-05
106,106,51,6.155584201150008e-06
107,107,66,7.966050142664715e-06
108,108,82,9.897213813613738e-06
109,109,68,8.207445601533345e-06
110,110,201,2.426024361629709e-05
111,111,81,9.776516084179424e-06
112,112,83,1.0017911543048052e-05
113,113,93,1.122488883739119e-05
114,114,68,8.207445601533345e-06
115,115,106,1.2793959320037272e-05
116,116,61,7.362561495493147e-06
117,117,33,3.983025071332358e-06
118,118,67,8.086747872099031e-06
119,119,28,3.379536424160789e-06
120,120,322,3.886466887784907e-05
121,121,53,6.396979660018636e-06
122,122,42,5.069304636241183e-06
123,123,34,4.103722800766672e-06
124,124,31,3.7416296124637304e-06
125,125,146,1.7621868497409826e-05
126,126,49,5.91418874228138e-06
127,127,30,3.6209318830294162e-06
128,128,36,4.3451182596353e-06
129,129,31,3.7416296124637304e-06
130,130,158,1.9070241250621594e-05
131,131,25,3.017443235857847e-06
132,132,38,4.586513718503928e-06
133,133,25,3.017443235857847e-06
134,134,29,3.5002341535951026e-06
135,135,70,8.448841060401972e-06
136,136,23,2.776047776989219e-06
137,137,41,4.948606906806869e-06
138,138,43,5.190002365675497e-06
139,139,16,1.931163670949022e-06
140,140,123,1.4845820720420608e-05
141,141,14,1.6897682120803944e-06
142,142,23,2.776047776989219e-06
143,143,23,2.776047776989219e-06
144,144,22,2.6553500475549054e-06
145,145,50,6.034886471715694e-06
146,146,36,4.3451182596353e-06
147,147,22,2.6553500475549054e-06
148,148,17,2.051861400383336e-06
149,149,26,3.138140965292161e-06
150,150,281,3.39160619710422e-05
151,151,15,1.8104659415147081e-06
152,152,24,2.8967455064235333e-06
153,153,16,1.931163670949022e-06
154,154,19,2.293256859251964e-06
155,155,30,3.6209318830294162e-06
156,156,23,2.776047776989219e-06
157,157,15,1.8104659415147081e-06
158,158,15,1.8104659415147081e-06
159,159,12,1.4483727532117666e-06
160,160,88,1.0621400190219622e-05
161,161,13,1.5690704826460805e-06
162,162,25,3.017443235857847e-06
163,163,7,8.448841060401972e-07
164,164,10,1.2069772943431388e-06
165,165,39,4.707211447938242e-06
166,166,4,4.827909177372555e-07
167,167,9,1.086279564908825e-06
168,168,21,2.5346523181205913e-06
169,169,13,1.5690704826460805e-06
170,170,59,7.121166036624519e-06
171,171,9,1.086279564908825e-06
172,172,14,1.6897682120803944e-06
173,173,8,9.65581835474511e-07
174,174,9,1.086279564908825e-06
175,175,36,4.3451182596353e-06
176,176,11,1.3276750237774527e-06
177,177,9,1.086279564908825e-06
178,178,12,1.4483727532117666e-06
179,179,4,4.827909177372555e-07
180,180,73,8.810934248704913e-06
181,181,16,1.931163670949022e-06
182,182,10,1.2069772943431388e-06
183,183,7,8.448841060401972e-07
184,184,11,1.3276750237774527e-06
185,185,19,2.293256859251964e-06
186,186,2,2.4139545886862775e-07
187,187,19,2.293256859251964e-06
188,188,4,4.827909177372555e-07
189,189,5,6.034886471715694e-07
190,190,20,2.4139545886862776e-06
191,191,2,2.4139545886862775e-07
192,192,9,1.086279564908825e-06
193,193,7,8.448841060401972e-07
194,194,6,7.241863766058833e-07
195,195,16,1.931163670949022e-06
196,196,4,4.827909177372555e-07
197,197,5,6.034886471715694e-07
198,198,11,1.3276750237774527e-06
199,199,9,1.086279564908825e-06
200,200,145,1.7501170767975512e-05
201,201,4,4.827909177372555e-07
202,202,5,6.034886471715694e-07
203,203,3,3.6209318830294166e-07
204,204,6,7.241863766058833e-07
205,205,7,8.448841060401972e-07
206,206,4,4.827909177372555e-07
207,207,2,2.4139545886862775e-07
208,208,4,4.827909177372555e-07
209,209,11,1.3276750237774527e-06
210,210,17,2.051861400383336e-06
211,211,3,3.6209318830294166e-07
212,212,10,1.2069772943431388e-06
213,213,2,2.4139545886862775e-07
214,214,6,7.241863766058833e-07
215,215,7,8.448841060401972e-07
216,216,5,6.034886471715694e-07
217,217,3,3.6209318830294166e-07
218,218,6,7.241863766058833e-07
219,219,2,2.4139545886862775e-07
220,220,28,3.379536424160789e-06
221,221,1,1.2069772943431388e-07
222,222,10,1.2069772943431388e-06
223,223,3,3.6209318830294166e-07
224,224,9,1.086279564908825e-06
225,225,17,2.051861400383336e-06
226,226,2,2.4139545886862775e-07
227,227,5,6.034886471715694e-07
228,228,4,4.827909177372555e-07
229,229,1,1.2069772943431388e-07
230,230,22,2.6553500475549054e-06
231,231,1,1.2069772943431388e-07
232,232,2,2.4139545886862775e-07
233,233,2,2.4139545886862775e-07
234,234,7,8.448841060401972e-07
235,235,8,9.65581835474511e-07
236,236,1,1.2069772943431388e-07
237,237,5,6.034886471715694e-07
238,238,2,2.4139545886862775e-07
239,239,5,6.034886471715694e-07
240,240,16,1.931163670949022e-06
241,241,1,1.2069772943431388e-07
242,242,4,4.827909177372555e-07
243,243,5,6.034886471715694e-07
244,244,1,1.2069772943431388e-07
245,245,5,6.034886471715694e-07
246,246,5,6.034886471715694e-07
247,247,4,4.827909177372555e-07
248,248,3,3.6209318830294166e-07
249,249,5,6.034886471715694e-07
250,250,52,6.276281930584322e-06
251,251,3,3.6209318830294166e-07
252,252,4,4.827909177372555e-07
253,253,3,3.6209318830294166e-07
254,254,2,2.4139545886862775e-07
255,255,4,4.827909177372555e-07
256,256,2,2.4139545886862775e-07
257,257,3,3.6209318830294166e-07
258,258,1,1.2069772943431388e-07
259,259,1,1.2069772943431388e-07
260,260,11,1.3276750237774527e-06
261,261,1,1.2069772943431388e-07
262,262,2,2.4139545886862775e-07
263,263,1,1.2069772943431388e-07
264,264,3,3.6209318830294166e-07
265,265,4,4.827909177372555e-07
266,266,2,2.4139545886862775e-07
267,267,0,0.0
268,268,3,3.6209318830294166e-07
269,269,3,3.6209318830294166e-07
270,270,4,4.827909177372555e-07
271,271,2,2.4139545886862775e-07
272,272,3,3.6209318830294166e-07
273,273,0,0.0
274,274,0,0.0
275,275,12,1.4483727532117666e-06
276,276,0,0.0
277,277,1,1.2069772943431388e-07
278,278,0,0.0
279,279,1,1.2069772943431388e-07
280,280,4,4.827909177372555e-07
281,281,1,1.2069772943431388e-07
282,282,2,2.4139545886862775e-07
283,283,0,0.0
284,284,2,2.4139545886862775e-07
285,285,0,0.0
286,286,0,0.0
287,287,1,1.2069772943431388e-07
288,288,2,2.4139545886862775e-07
289,289,2,2.4139545886862775e-07
290,290,4,4.827909177372555e-07
291,291,0,0.0
292,292,1,1.2069772943431388e-07
293,293,0,0.0
294,294,0,0.0
295,295,4,4.827909177372555e-07
296,296,0,0.0
297,297,3,3.6209318830294166e-07
298,298,0,0.0
299,299,0,0.0
300,300,0,0.0
