,FareBucket,Amount,Percentage
0,0,40,0.014229811454998222
1,1,0,0.0
2,2,0,0.0
3,3,45,0.016008537886873
4,4,25,0.008893632159373888
5,5,48,0.017075773745997867
6,6,86,0.030594094628246176
7,7,137,0.04873710423336891
8,8,159,0.05656350053361793
9,9,140,0.04980434009249377
10,10,122,0.04340092493774458
11,11,79,0.028103877623621487
12,12,88,0.031305585200996085
13,13,79,0.028103877623621487
14,14,63,0.022411953041622197
15,15,94,0.03344005691924582
16,16,67,0.02383493418712202
17,17,40,0.014229811454998222
18,18,56,0.019921736036997508
19,19,41,0.014585556741373178
20,20,46,0.016364283173247954
21,21,42,0.014941302027748132
22,22,42,0.014941302027748132
23,23,32,0.011383849163998577
24,24,19,0.006759160441124155
25,25,40,0.014229811454998222
26,26,39,0.013874066168623266
27,27,31,0.011028103877623622
28,28,16,0.005691924581999288
29,29,23,0.008182141586623977
30,30,19,0.006759160441124155
31,31,31,0.011028103877623622
32,32,30,0.010672358591248666
33,33,31,0.011028103877623622
34,34,34,0.012095339736748489
35,35,28,0.009960868018498754
36,36,21,0.007470651013874066
37,37,36,0.012806830309498399
38,38,27,0.0096051227321238
39,39,43,0.015297047314123088
40,40,48,0.017075773745997867
41,41,39,0.013874066168623266
42,42,43,0.015297047314123088
43,43,33,0.011739594450373533
44,44,27,0.0096051227321238
45,45,24,0.008537886872998933
46,46,38,0.01351832088224831
47,47,32,0.011383849163998577
48,48,35,0.012451085023123443
49,49,32,0.011383849163998577
50,50,47,0.01672002845962291
51,51,33,0.011739594450373533
52,52,35,0.012451085023123443
53,53,29,0.01031661330487371
54,54,24,0.008537886872998933
55,55,27,0.0096051227321238
56,56,30,0.010672358591248666
57,57,18,0.0064034151547491995
58,58,23,0.008182141586623977
59,59,11,0.003913198150124511
60,60,10,0.0035574528637495554
61,61,16,0.005691924581999288
62,62,11,0.003913198150124511
63,63,9,0.0032017075773745998
64,64,10,0.0035574528637495554
65,65,7,0.0024902170046246885
66,66,8,0.002845962290999644
67,67,4,0.001422981145499822
68,68,1,0.0003557452863749555
69,69,4,0.001422981145499822
70,70,5,0.0017787264318747777
71,71,4,0.001422981145499822
72,72,1,0.0003557452863749555
73,73,4,0.001422981145499822
74,74,4,0.001422981145499822
75,75,2,0.000711490572749911
76,76,3,0.0010672358591248667
77,77,3,0.0010672358591248667
78,78,5,0.0017787264318747777
79,79,0,0.0
80,80,4,0.001422981145499822
81,81,0,0.0
82,82,2,0.000711490572749911
83,83,5,0.0017787264318747777
84,84,0,0.0
85,85,1,0.0003557452863749555
86,86,1,0.0003557452863749555
87,87,0,0.0
88,88,2,0.000711490572749911
89,89,0,0.0
90,90,1,0.0003557452863749555
91,91,2,0.000711490572749911
92,92,1,0.0003557452863749555
93,93,1,0.0003557452863749555
94,94,1,0.0003557452863749555
95,95,2,0.000711490572749911
96,96,0,0.0
97,97,0,0.0
98,98,0,0.0
99,99,0,0.0
100,100,2,0.000711490572749911
101,101,0,0.0
102,102,0,0.0
103,103,0,0.0
104,104,0,0.0
105,105,1,0.0003557452863749555
106,106,0,0.0
107,107,0,0.0
108,108,0,0.0
109,109,0,0.0
110,110,0,0.0
111,111,0,0.0
112,112,0,0.0
113,113,0,0.0
114,114,0,0.0
115,115,0,0.0
116,116,1,0.0003557452863749555
117,117,1,0.0003557452863749555
118,118,0,0.0
119,119,0,0.0
120,120,0,0.0
121,121,0,0.0
122,122,0,0.0
123,123,0,0.0
124,124,0,0.0
125,125,0,0.0
126,126,1,0.0003557452863749555
127,127,0,0.0
128,128,1,0.0003557452863749555
129,129,0,0.0
130,130,0,0.0
131,131,0,0.0
132,132,0,0.0
133,133,0,0.0
134,134,0,0.0
135,135,0,0.0
136,136,0,0.0
137,137,0,0.0
138,138,0,0.0
139,139,0,0.0
140,140,1,0.0003557452863749555
141,141,0,0.0
142,142,0,0.0
143,143,0,0.0
144,144,0,0.0
145,145,0,0.0
146,146,0,0.0
147,147,0,0.0
148,148,0,0.0
149,149,0,0.0
150,150,0,0.0
151,151,0,0.0
152,152,0,0.0
153,153,0,0.0
154,154,0,0.0
155,155,0,0.0
156,156,0,0.0
157,157,0,0.0
158,158,0,0.0
159,159,0,0.0
160,160,0,0.0
161,161,0,0.0
162,162,1,0.0003557452863749555
163,163,0,0.0
164,164,0,0.0
165,165,0,0.0
166,166,0,0.0
167,167,0,0.0
168,168,0,0.0
169,169,0,0.0
170,170,0,0.0
171,171,0,0.0
172,172,0,0.0
173,173,0,0.0
174,174,0,0.0
175,175,0,0.0
176,176,0,0.0
177,177,0,0.0
178,178,0,0.0
179,179,0,0.0
180,180,0,0.0
181,181,0,0.0
182,182,0,0.0
183,183,0,0.0
184,184,0,0.0
185,185,0,0.0
186,186,0,0.0
187,187,0,0.0
188,188,0,0.0
189,189,0,0.0
190,190,0,0.0
191,191,0,0.0
192,192,0,0.0
193,193,0,0.0
194,194,0,0.0
195,195,0,0.0
196,196,0,0.0
197,197,0,0.0
198,198,0,0.0
199,199,0,0.0
200,200,1,0.0003557452863749555
