,TimeBucket,Amount
0,2000-01-01 00:00:00,31
1,2000-01-01 00:15:00,25
2,2000-01-01 00:30:00,33
3,2000-01-01 00:45:00,56
4,2000-01-01 01:00:00,39
5,2000-01-01 01:15:00,37
6,2000-01-01 01:30:00,29
7,2000-01-01 01:45:00,20
8,2000-01-01 02:00:00,16
9,2000-01-01 02:15:00,12
10,2000-01-01 02:30:00,14
11,2000-01-01 02:45:00,9
12,2000-01-01 03:00:00,7
13,2000-01-01 03:15:00,8
14,2000-01-01 03:30:00,10
15,2000-01-01 03:45:00,6
16,2000-01-01 04:00:00,16
17,2000-01-01 04:15:00,11
18,2000-01-01 04:30:00,4
19,2000-01-01 04:45:00,9
20,2000-01-01 05:00:00,16
21,2000-01-01 05:15:00,51
22,2000-01-01 05:30:00,63
23,2000-01-01 05:45:00,48
24,2000-01-01 06:00:00,30
25,2000-01-01 06:15:00,102
26,2000-01-01 06:30:00,56
27,2000-01-01 06:45:00,50
28,2000-01-01 07:00:00,49
29,2000-01-01 07:15:00,92
30,2000-01-01 07:30:00,73
31,2000-01-01 07:45:00,92
32,2000-01-01 08:00:00,127
33,2000-01-01 08:15:00,93
34,2000-01-01 08:30:00,91
35,2000-01-01 08:45:00,96
36,2000-01-01 09:00:00,101
37,2000-01-01 09:15:00,95
38,2000-01-01 09:30:00,109
39,2000-01-01 09:45:00,130
40,2000-01-01 10:00:00,114
41,2000-01-01 10:15:00,99
42,2000-01-01 10:30:00,104
43,2000-01-01 10:45:00,99
44,2000-01-01 11:00:00,133
45,2000-01-01 11:15:00,110
46,2000-01-01 11:30:00,107
47,2000-01-01 11:45:00,118
48,2000-01-01 12:00:00,134
49,2000-01-01 12:15:00,135
50,2000-01-01 12:30:00,148
51,2000-01-01 12:45:00,131
52,2000-01-01 13:00:00,142
53,2000-01-01 13:15:00,139
54,2000-01-01 13:30:00,107
55,2000-01-01 13:45:00,138
56,2000-01-01 14:00:00,125
57,2000-01-01 14:15:00,108
58,2000-01-01 14:30:00,126
59,2000-01-01 14:45:00,113
60,2000-01-01 15:00:00,133
61,2000-01-01 15:15:00,114
62,2000-01-01 15:30:00,120
63,2000-01-01 15:45:00,139
64,2000-01-01 16:00:00,195
65,2000-01-01 16:15:00,217
66,2000-01-01 16:30:00,213
67,2000-01-01 16:45:00,166
68,2000-01-01 17:00:00,259
69,2000-01-01 17:15:00,168
70,2000-01-01 17:30:00,137
71,2000-01-01 17:45:00,101
72,2000-01-01 18:00:00,117
73,2000-01-01 18:15:00,108
74,2000-01-01 18:30:00,125
75,2000-01-01 18:45:00,79
76,2000-01-01 19:00:00,109
77,2000-01-01 19:15:00,87
78,2000-01-01 19:30:00,85
79,2000-01-01 19:45:00,72
80,2000-01-01 20:00:00,93
81,2000-01-01 20:15:00,90
82,2000-01-01 20:30:00,62
83,2000-01-01 20:45:00,76
84,2000-01-01 21:00:00,61
85,2000-01-01 21:15:00,64
86,2000-01-01 21:30:00,63
87,2000-01-01 21:45:00,65
88,2000-01-01 22:00:00,53
89,2000-01-01 22:15:00,55
90,2000-01-01 22:30:00,40
91,2000-01-01 22:45:00,46
92,2000-01-01 23:00:00,32
93,2000-01-01 23:15:00,26
94,2000-01-01 23:30:00,29
95,2000-01-01 23:45:00,46
