passenger_count,trip_distance,fare
3.0,3.7,16.3
6.0,0.72,8.3
1.0,1.98,10.3
1.0,1.29,8.8
1.0,0.7,5.3
4.0,2.5,13.3
1.0,1.27,6.8
1.0,0.8,6.8
1.0,2.0,9.8
1.0,4.0,16.8
3.0,1.73,9.8
6.0,1.19,6.8
4.0,5.0,17.8
1.0,1.37,6.3
2.0,9.04,33.06
1.0,1.4,8.3
2.0,3.6,13.8
1.0,2.7,14.3
1.0,1.82,11.3
3.0,1.54,8.3
1.0,0.8,9.3
1.0,0.8,5.8
1.0,3.6,15.3
1.0,1.74,8.3
1.0,1.03,6.8
5.0,0.91,6.8
1.0,0.74,5.8
1.0,8.1,30.799999999999997
1.0,3.58,15.8
1.0,1.59,8.8
1.0,7.67,24.3
2.0,1.14,6.8
1.0,1.35,7.799999999999999
1.0,0.92,7.799999999999999
5.0,2.57,13.3
2.0,2.39,12.799999999999999
1.0,4.13,16.8
1.0,9.0,34.56
3.0,0.65,5.3
1.0,0.72,5.8
1.0,17.0,58.56
1.0,1.26,6.3
1.0,0.41,4.3
1.0,1.14,6.8
1.0,2.7,13.8
1.0,4.1,14.8
2.0,4.18,19.3
2.0,0.88,6.8
1.0,19.47,58.56
2.0,0.77,6.3
2.0,1.06,10.8
1.0,3.91,19.75
1.0,0.5,5.8
1.0,3.8,18.8
1.0,0.79,7.3
1.0,3.6,14.8
5.0,0.67,5.8
1.0,10.73,32.3
1.0,4.3,16.8
1.0,4.6,18.3
2.0,1.07,6.8
5.0,2.15,10.3
1.0,1.1,6.8
1.0,5.24,26.8
1.0,0.84,6.8
3.0,0.9,7.3
1.0,15.2,58.56
2.0,0.83,6.8
1.0,2.4,14.299999999999999
2.0,0.6,6.3
1.0,9.52,36.06
1.0,3.11,15.3
1.0,1.3,8.8
1.0,2.25,11.8
1.0,2.48,14.8
1.0,0.77,7.799999999999999
1.0,7.9,30.559999999999995
5.0,10.52,40.06
1.0,0.96,7.3
1.0,0.8,7.800000000000001
1.0,3.0,17.8
1.0,1.83,12.799999999999999
1.0,1.52,9.3
1.0,0.31,4.8
2.0,0.7,6.800000000000001
1.0,0.99,6.800000000000001
1.0,2.8,11.3
1.0,6.24,22.8
1.0,5.23,22.3
1.0,0.26,4.8
1.0,2.7,13.8
1.0,0.5,5.3
2.0,0.61,5.8
1.0,1.8,8.8
1.0,2.31,17.299999999999997
1.0,0.06,5.8
1.0,0.68,5.8
5.0,5.54,22.8
4.0,0.33,3.8
1.0,0.9,6.8
1.0,0.8,8.8
1.0,1.46,12.8
1.0,2.17,11.3
1.0,1.97,10.299999999999999
1.0,1.19,7.3
1.0,2.76,17.3
2.0,0.48,6.3
1.0,0.3,4.3
1.0,0.73,5.3
1.0,19.04,58.56
1.0,1.5,13.3
3.0,2.3,13.3
1.0,1.4,8.8
1.0,1.15,8.3
2.0,2.97,13.8
1.0,1.1,8.3
6.0,1.29,7.8
1.0,0.3,3.8
1.0,3.55,15.8
1.0,1.37,9.8
1.0,0.82,7.300000000000001
4.0,3.5,17.8
1.0,4.08,19.8
1.0,0.9,8.3
1.0,1.24,10.3
1.0,13.87,39.8
3.0,0.7,6.3
1.0,1.01,7.3
1.0,0.61,5.8
1.0,1.2,7.8
1.0,1.18,8.8
2.0,0.7,9.3
1.0,3.2,12.8
1.0,10.4,30.3
1.0,1.92,9.8
3.0,2.45,10.3
5.0,1.98,8.8
1.0,1.55,6.8
2.0,3.0,11.8
1.0,0.5,9.8
1.0,1.4,8.8
1.0,1.2,8.3
1.0,0.3,5.800000000000001
3.0,0.5,4.300000000000001
1.0,9.2,28.299999999999997
1.0,0.72,5.300000000000001
1.0,0.9,6.8
2.0,2.65,13.8
3.0,3.6,15.3
1.0,12.96,45.56
6.0,0.59,5.3
1.0,2.5,11.8
1.0,0.6,4.8
1.0,0.9,9.3
1.0,1.01,6.3
1.0,0.96,8.3
1.0,1.49,10.8
1.0,0.9,6.800000000000001
1.0,2.37,11.8
6.0,1.0,8.3
1.0,4.2,15.8
1.0,1.7,8.299999999999999
1.0,6.4,23.3
1.0,1.1,6.8
1.0,16.91,58.56
2.0,2.16,9.8
1.0,4.7,15.799999999999999
3.0,0.49,4.3
1.0,0.5,4.8
2.0,2.7,10.8
4.0,3.9,19.3
1.0,21.0,58.56
1.0,0.92,6.3
1.0,16.4,45.8
2.0,1.41,9.299999999999999
1.0,4.0,16.299999999999997
1.0,5.2,22.8
1.0,1.71,9.8
1.0,0.62,5.8
1.0,1.16,8.3
1.0,19.4,58.56
1.0,18.5,58.56
2.0,1.3,7.800000000000001
1.0,2.0,10.3
4.0,0.6,6.3
1.0,19.35,58.56
1.0,0.6,5.8
5.0,0.88,5.8
1.0,0.64,5.300000000000001
1.0,4.09,16.07
1.0,0.8,6.3
1.0,0.85,6.8
1.0,1.11,8.3
1.0,0.7,5.3
1.0,1.5,9.8
2.0,0.93,7.3
3.0,6.7,23.3
1.0,0.9,7.8
1.0,18.58,52.8
1.0,16.89,53.800000000000004
1.0,1.2,7.8
1.0,2.2,13.8
